,CPI,INDPRO,TERM_SPREAD,FED_RATE,HY_OAS,VIX,CPI_q,INDPRO_q,TERM_SPREAD_m,FED_RATE_m,HY_OAS_m,VIX_m,CPI_z,INDPRO_z,TERM_SPREAD_z,FED_RATE_z,HY_OAS_z,VIX_z,CPI_q_z,INDPRO_q_z,TERM_SPREAD_m_z,FED_RATE_m_z,HY_OAS_m_z,VIX_m_z,curve_inv,high_vol,credit_spread
2017-10-31,246.626,101.0247,1.135759460083938,1.15,3.8183282546915986,10.150797657285612,0.009756676752250781,0.009169207286617853,-0.0037197718561946536,0.0,-0.0004376296618850972,0.0020530757438905756,1.6782483497851863,2.494643620787811,-1.2790298154729571,1.6250760294739794,-0.9725198791181461,-1.0633460967102957,1.49187083569719,1.1477858366685072,0.12489636473359149,-0.5203052087939595,0.26722963723164245,0.1287940184211224,0,0,0
2017-11-30,247.284,101.2664,1.19,1.16,3.48,10.2,0.008569109603846936,0.01578754670612148,0.047757066370420764,0.008695652173912993,-0.08860638272152033,0.004847140527825644,1.715493846068302,2.3668286538788483,-1.0317863889774535,1.519932185379844,-1.113793799520034,-1.0620950015500576,1.0749265549584226,1.761466082122942,0.5492782770364147,-0.4828209832050961,-0.8526331815718392,0.14433012606426143,0,0,0
2017-12-31,247.805,101.4644,1.1,1.3,3.63,11.43,0.005559275265282881,0.01672421774951549,-0.07563025210084018,0.12068965517241392,0.0431034482758621,0.12058823529411766,1.7142865840846564,2.1990318255981895,-1.224034360703454,1.7412417014810515,-0.9274359195923437,-0.5688744432910234,0.1964410603505227,1.7607057958011187,-0.5038008920861606,0.37636081824985745,0.8295951869867917,0.7859174150974984,0,0,0
2018-01-31,248.859,101.4625,1.0958992251526611,1.41,3.6327464185169065,11.484692812758576,0.009054195421407396,0.004333593665707625,-0.00372797713394446,0.08461538461538454,0.0007565891231147148,0.004785022988501808,1.8622646779124645,1.9276305633653634,-1.148307422189796,1.8239622372995918,-0.850773735774284,-0.5026299757161504,1.0979689751079202,0.22018531007400013,0.11212487358424725,0.23300522380666516,0.2776696393805618,0.026941735958739367,0,0,0
2018-02-28,249.529,101.7085,1.3,1.42,3.29,13.47,0.009078630238915641,0.0043657126154381665,0.1862404591251603,0.007092198581560183,-0.0943491174528045,0.17286550189970318,1.8988303690219155,1.8918931348312613,-0.42188319328249574,1.6585594247723594,-1.0479949998503322,0.3739685856609913,1.079903923234284,0.1799372226756633,1.5800069302108974,-0.6030434666002054,-1.0273127099686932,1.3110154453793919,0,0,0
2018-03-31,249.577,102.2067,1.18,1.51,3.59,22.47,0.007150783882488243,0.007315866451681474,-0.09230769230769242,0.06338028169014098,0.09118541033434635,0.6681514476614698,1.7577323456528833,2.0361390886928863,-0.7712134952762424,1.6976331149360115,-0.7694968872853315,3.327495371904131,0.3928273088751605,0.490588627782941,-0.7424535297988658,-0.013559580449816538,1.8498406075053133,3.3369546691965835,0,1,0
2018-04-30,250.227,103.3329,1.1783777234584338,1.69,3.593197181413487,22.552603041036868,0.005497088712885567,0.01843439694468385,-0.0013748106284457995,0.11920529801324498,0.0008905797809155569,0.0036761477987035107,1.784296356512171,2.4448400430631243,-0.7191748460218117,1.8991817508614668,-0.7202389039692322,2.6560943165651114,-0.16689725013321347,1.771109955154363,0.029958007657533155,0.6042605051577369,0.4116927865473779,-0.17832988631815436,0,1,0
2018-05-31,250.792,102.4024,1.12,1.7,3.47,15.49,0.005061535933699179,0.006822438635905481,-0.04954075615677822,0.00591715976331364,-0.03428622900261313,-0.3131613245790611,1.7766621303567223,1.599018659510789,-0.8418869993712295,1.7263819724277973,-0.8254627868375387,0.6175178369980284,-0.26150981769758236,0.21274303580464587,-0.3499073073635194,-0.7459171546475004,-0.11295835929167691,-1.7139141148954637,0,0,0
2018-06-30,251.018,103.198,0.97,1.82,3.55,13.46,0.005773769217516156,0.00969897276792997,-0.1339285714285715,0.07058823529411762,0.023054755043227626,-0.13105229180116196,1.6766712038462375,1.88953809198126,-1.220011494631009,1.7914811354693518,-0.6806471077396662,0.055053425129061945,0.03547197333085338,0.5755298231631384,-0.9914875714861037,0.002390724946921759,0.7218588373585763,-0.7329261181340752,0,0,0
2018-07-31,251.214,103.3646,0.9956939167936812,1.91,3.5539376473163538,13.508175784857036,0.0039444184680310634,0.0003067754800261113,0.026488574014104316,0.049450549450549275,0.001109196427141912,0.0035791816387098496,1.5953703687898837,1.7696313303064404,-1.090704639942196,1.7863836031643012,-0.6406727400207886,0.08377293321745362,-0.6092188483521698,-0.6603876158152329,0.24610069799595663,-0.26345516877201697,0.3677539790819089,-0.04633593020616575,0,0,0
2018-08-31,251.663,104.0327,0.97,1.91,3.43,13.15,0.0034729975437812755,0.015920525300188393,-0.025805035423356215,0.0,-0.03487333195334508,-0.026515481480375636,1.590708561898986,1.91251277327149,-1.1099667857474247,1.626399995460724,-0.8087536171604932,-0.025950003550413072,-0.7632038061164392,1.3000666049747525,-0.19529717022030574,-0.8376370939290236,-0.2690509644238196,-0.22934656493996156,0,0,0
2018-09-30,252.182,104.1004,0.9719816862595696,1.95,3.4330861719217314,13.158215283627591,0.004637117656901113,0.0087443555107658,0.0020429755253295045,0.020942408376963373,0.0008997585777641426,0.0006247363975353526,1.600567424950715,1.7429627901790077,-1.045072392291476,1.569622264735665,-0.7575522106524306,-0.019828300318685554,-0.3608361994318972,0.33411859666938426,0.05702690201397358,-0.603165969285286,0.2842897875390754,-0.0727025703009985,0,0,0
2018-10-31,252.772,103.9856,0.86,2.19,3.22,12.0,0.006201883652981133,0.006007859557334072,-0.11520966685134093,0.12307692307692308,-0.062068401796757766,-0.0880222171975501,1.6229906682451094,1.525184731223013,-1.2823538927980975,1.8747861852835639,-1.1827174875289796,-0.3303697386602824,0.2083664542539017,-0.06921334732717575,-0.9230852934854792,0.5674204296609952,-0.7899710784554533,-0.5074713314140247,0,0,0
2018-11-30,252.594,104.0681,0.82,2.2,3.81,19.34,0.003699391646765582,0.00034027762424693186,-0.04651162790697683,0.004566210045662267,0.18322981366459623,0.6116666666666666,1.4504431642564894,1.4462844599770226,-1.2756251255294928,1.7444700487345821,0.3752397731110313,1.7078446556967175,-0.6463437386027827,-0.892362888929611,-0.25641755441840164,-0.8525917914712607,2.7564861317199987,2.7006491869448257,0,1,0
2018-12-31,252.767,104.0936,0.8241203479381641,2.27,3.8039157470692286,19.294182417037153,0.0023197531941216987,-6.532155496041803e-05,0.005024814558736823,0.031818181818181746,-0.001596916779730062,-0.002369058064263019,1.3873738539379359,1.339743819746683,-1.1982217530531716,1.7271022949850503,0.5658525574996186,1.5454796500322407,-1.054516058148086,-0.920520953177224,0.49445577455586703,-0.4835629344288634,0.06282909809643283,-0.15671540337929432,0,0,0
2019-01-31,252.561,103.4021,0.8196800558050119,2.4,3.8281775790277823,19.313960655082855,-0.0008347443545961841,-0.005611353879767966,-0.0053879171218879085,0.05726872246696035,0.006378120224467709,0.00102508816482616,1.2237623393150743,0.8991587075234089,-1.1663923613651805,1.8026945153962342,1.1821034922915705,1.4227597507228902,-1.8834582290043091,-1.5840859107777223,0.35925848037898783,-0.0030411239690498228,0.17795188824775418,-0.14215819668900925,0,0,1
2019-02-28,253.319,102.8371,0.3,2.4,4.29,16.14,0.002870218611685127,-0.011828792876971805,-0.6340035384838436,0.0,0.12063766934487496,-0.16433504819466238,1.3354804778780411,0.5251004378987895,-2.5752261584218377,1.6570922869946725,3.0500416956779524,0.5797272632349547,-0.626559674724181,-2.119359286307147,-3.987873392241686,-0.9628793589904733,1.7536720988850505,-0.9204162970236788,0,0,1
2019-03-31,254.277,102.8757,0.32,2.41,3.86,13.57,0.005973881084160526,-0.011700046880884107,0.06666666666666665,0.004166666666666874,-0.10023310023310028,-0.1592317224287485,1.493361048833723,0.4850197387888877,-2.300028137526516,1.5416098944578753,0.984229367448187,-0.0739448739764588,0.37811230709351373,-1.8942060532157512,0.8225046843155416,-0.8617218281095682,-1.59967092181775,-0.8395389613105009,0,0,1
2019-04-30,255.233,102.274,0.06,2.42,3.94,13.4,0.010579622348660278,-0.010909836453998567,-0.8125,0.004149377593360981,0.020725388601036343,-0.012527634487840777,1.62969294039891,0.039007744799129426,-2.7356591730560678,1.4367201441916009,1.2340680590002755,-0.126863225561902,1.6783378027759372,-1.6180558871431863,-3.4124243056984938,-0.7997874868583562,0.21900234354830445,-0.15715652210340358,0,0,1
2019-05-31,255.296,102.392,0.09,2.39,3.71,14.8,0.0078043889325316584,-0.0043282045098511635,0.5,-0.012396694214875992,-0.058375634517766506,0.10447761194029859,1.5317448106497453,0.0578802365421374,-2.2868438513122693,1.279519508136771,0.23917309494523303,0.1794539729009006,0.7541209591836806,-0.8525392076011227,2.302418921023972,-1.0987995738996752,-0.9012542115559699,0.33613482485844487,0,0,0
2019-06-30,255.213,102.4375,0.0761770613522235,2.38,3.7103908820966316,14.776450517666442,0.0036810250238912268,-0.004259509291309804,-0.15358820719751654,-0.004184100418410108,0.0001053590556958639,-0.0015911812387540136,1.4165397759908784,0.029926868928778716,-2.01404256276132,1.1671167612101045,0.23697065346791787,0.12449398973956968,-0.6453314837447375,-0.7751202676292034,-0.39418566880018974,-0.8821243665610984,-0.03252219529165889,-0.1701708588808456,0,0,0
2019-07-31,255.802,101.9408,-0.18,2.4,3.99,14.06,0.0022293355483029575,-0.0032579150126131884,-3.362916038040972,0.008403361344537785,0.0753583993677156,-0.04848596872502409,1.5203734140771206,-0.41845695428110474,-2.2491844306971984,1.1171543137022582,1.3553685846200763,-0.11320833547296,-1.2195829566844956,-0.6401883957085892,-4.418723513263357,-0.5432391734978538,1.0356258458941354,-0.38128208898521715,1,0,1
2019-08-31,256.036,102.639,-0.17,2.13,4.1,17.87,0.0028985961393832582,0.002412297835768351,-0.05555555555555547,-0.11250000000000004,0.027568922305764243,0.2709815078236131,1.5110008180865524,0.03813897319715974,-1.941819929164513,0.4938473919810382,1.627496428232803,0.8480483015243152,-0.9369458635075559,-0.0510514459838351,0.2000524529118582,-2.6632025152762284,0.2968498245088614,1.051229682733555,1,0,1
2019-09-30,256.43,102.2917,-0.14603489507902734,2.04,4.066207790800477,17.792422645694852,0.004768565864591512,-0.0014233068944478067,-0.1409712054174863,-0.04225352112676051,-0.008242002243786017,-0.0043412061726439966,1.5353216839252604,-0.4257061525213129,-1.6855368876502026,0.23176112297443935,1.395559684125552,0.7579099231234936,-0.2301099237372074,-0.503084826575751,0.08708921414006844,-1.2604088878161341,-0.1940441722127019,-0.21523522814650078,1,0,1
2019-10-31,257.155,101.4281,-0.17,1.83,4.08,18.56,0.005289247152094223,-0.0050293896065166654,0.164105331866085,-0.1029411764705882,0.003391909589747666,0.04314068801029025,1.670972555804976,-1.383157516316538,-1.5591507697546199,-0.3472167793360145,1.3531382553467184,0.9015020374428656,0.02651732098027372,-0.8383081409372856,0.5017956769206253,-2.080650630358697,-0.021527098188749493,-0.004492743300252976,1,0,1
2019-11-30,257.879,101.9372,0.21,1.55,4.09,12.3,0.007198206502210702,-0.0068375568740925985,-2.235294117647059,-0.15300546448087438,0.002450980392156854,-0.33728448275862055,1.7850006609551763,-0.9016400677850381,-0.7664964141893235,-1.1713368740882009,1.2691450205974055,-0.9838086809299108,0.7984593660804105,-0.9655700067867015,-2.3495151735729567,-2.4107455549588535,-0.09715995237205455,-1.592686827566785,0,0,1
2019-12-31,258.63,101.7003,0.21430143273890237,1.55,4.075741651983218,12.196018337343485,0.008579339390866858,-0.0057815052443160875,0.020483013042392306,0.0,-0.0034861486593598112,-0.008453793711911795,1.8853796840509225,-1.1950631906055342,-0.6938829677617815,-1.2567717806515155,1.121700740389849,-1.0367564904066542,1.2453526385471765,-0.7816676232566162,0.37153298973910565,-0.14412401766581684,-0.16110709704682932,-0.14332076307071615,0,0,0
2020-01-31,259.127,101.0338,0.20496411536507325,1.55,4.085198168302986,12.234344940961291,0.007668526764013972,-0.0038874828573146614,-0.043570951694034576,0.0,0.0023201952251232782,0.00314255050768919,1.867421304045727,-1.8645625705105695,-0.6492271825496465,-1.3065226908684593,1.0648881553992542,-1.0465834687788729,0.9482277525270014,-0.5059202310854385,0.29643782373845784,-0.09327572986175177,-0.07009741820952221,-0.09256086946700076,0,0,0
